"code","meter","rule_type","included_units_monthly","hard_cap_units","overage_unit_price_microcents"
"FREE","credits","INCLUDED_QUOTA","200",,
"FREE","credits","HARD_CAP",,"200",
"ENTERPRISE","credits","INCLUDED_QUOTA","100000",,
"ENTERPRISE","credits","INCLUDED_QUOTA","100000",,
"ENTERPRISE","credits","INCLUDED_QUOTA","100000",,
"ENTERPRISE","credits","INCLUDED_QUOTA","100000",,
"PRO","credits","METERED_OVERAGE",,,"25000"
"PRO","credits","INCLUDED_QUOTA","500",,
"BUSINESS","credits","INCLUDED_QUOTA","1000",,
"BUSINESS","credits","METERED_OVERAGE",,,"15000"